Pattern: CDLSPINNINGTOP, Explanation: 陀螺 - 表示市場不確定性，具有小實體和較長的上下影線，顯示買賣雙方均無法取得明顯優勢。
Stock: 6799.TW, Signal: 100
Stock: 6901.TW, Signal: 100
Stock: 8081.TW, Signal: 100
Stock: 8114.TW, Signal: 100
Stock: 8478.TW, Signal: 100
Stock: 9908.TW, Signal: 100
Stock: 9914.TW, Signal: -100
Stock: 9940.TW, Signal: 100
Stock: 9946.TW, Signal: 100


Pattern: CDLBELTHOLD, Explanation: 帶抱 - 一種小型的看漲或看跌反轉模式，由一根具有小影線的長實體蠟燭組成，看漲帶抱的實體底部接近最低價，而看跌帶抱的實體頂部接近最高價。
Stock: 1104.TW, Signal: -100
Stock: 1110.TW, Signal: 100
Stock: 1220.TW, Signal: -100
Stock: 1301.TW, Signal: -100
Stock: 1315.TW, Signal: -100
Stock: 1326.TW, Signal: 100
Stock: 1419.TW, Signal: -100
Stock: 1446.TW, Signal: -100
Stock: 1467.TW, Signal: -100
Stock: 1477.TW, Signal: -100
Stock: 1506.TW, Signal: 100
Stock: 1515.TW, Signal: 100
Stock: 1535.TW, Signal: -100
Stock: 1598.TW, Signal: 100
Stock: 1603.TW, Signal: 100
Stock: 1605.TW, Signal: 100
Stock: 1611.TW, Signal: 100
Stock: 1626.TW, Signal: 100
Stock: 1708.TW, Signal: 100
Stock: 1709.TW, Signal: -100
Stock: 1720.TW, Signal: -100
Stock: 1723.TW, Signal: -100
Stock: 1726.TW, Signal: -100
Stock: 1736.TW, Signal: -100
Stock: 1805.TW, Signal: -100
Stock: 1808.TW, Signal: 100
Stock: 2002.TW, Signal: 100
Stock: 2009.TW, Signal: -100
Stock: 2207.TW, Signal: 100
Stock: 2227.TW, Signal: 100
Stock: 2250.TW, Signal: 100
Stock: 2303.TW, Signal: -100
Stock: 2308.TW, Signal: 100
Stock: 2321.TW, Signal: 100
Stock: 2324.TW, Signal: 100
Stock: 2344.TW, Signal: -100
Stock: 2358.TW, Signal: 100
Stock: 2360.TW, Signal: -100
Stock: 2369.TW, Signal: 100
Stock: 2371.TW, Signal: 100
Stock: 2385.TW, Signal: -100
Stock: 2393.TW, Signal: -100
Stock: 2395.TW, Signal: 100
Stock: 2406.TW, Signal: 100
Stock: 2413.TW, Signal: 100
Stock: 2417.TW, Signal: 100
Stock: 2424.TW, Signal: 100
Stock: 2430.TW, Signal: -100
Stock: 2453.TW, Signal: 100
Stock: 2466.TW, Signal: 100
Stock: 2482.TW, Signal: -100
Stock: 2485.TW, Signal: 100
Stock: 2535.TW, Signal: -100
Stock: 2542.TW, Signal: 100
Stock: 2548.TW, Signal: -100
Stock: 2611.TW, Signal: -100
Stock: 2613.TW, Signal: -100
Stock: 2616.TW, Signal: -100
Stock: 2636.TW, Signal: -100
Stock: 2642.TW, Signal: -100
Stock: 2702.TW, Signal: -100
Stock: 2739.TW, Signal: -100
Stock: 2762.TW, Signal: 100
Stock: 2884.TW, Signal: 100
Stock: 2888.TW, Signal: 100
Stock: 2891.TW, Signal: 100
Stock: 2903.TW, Signal: 100
Stock: 3005.TW, Signal: 100
Stock: 3014.TW, Signal: -100
Stock: 3033.TW, Signal: -100
Stock: 3042.TW, Signal: -100
Stock: 3048.TW, Signal: 100
Stock: 3057.TW, Signal: -100
Stock: 3090.TW, Signal: -100
Stock: 3305.TW, Signal: 100
Stock: 3518.TW, Signal: -100
Stock: 3673.TW, Signal: 100
Stock: 4133.TW, Signal: 100
Stock: 4439.TW, Signal: -100
Stock: 4560.TW, Signal: 100
Stock: 4764.TW, Signal: -100
Stock: 4770.TW, Signal: -100
Stock: 4904.TW, Signal: 100
Stock: 4915.TW, Signal: -100
Stock: 4938.TW, Signal: -100
Stock: 4952.TW, Signal: 100
Stock: 4976.TW, Signal: 100
Stock: 5203.TW, Signal: -100
Stock: 5434.TW, Signal: -100
Stock: 5484.TW, Signal: -100
Stock: 5519.TW, Signal: -100
Stock: 5522.TW, Signal: -100
Stock: 5533.TW, Signal: -100
Stock: 5538.TW, Signal: 100
Stock: 5906.TW, Signal: 100
Stock: 6115.TW, Signal: 100
Stock: 6184.TW, Signal: 100
Stock: 6214.TW, Signal: 100
Stock: 6215.TW, Signal: -100
Stock: 6216.TW, Signal: 100
Stock: 6257.TW, Signal: -100
Stock: 6277.TW, Signal: 100
Stock: 6283.TW, Signal: -100
Stock: 6426.TW, Signal: 100
Stock: 6579.TW, Signal: -100
Stock: 6585.TW, Signal: -100
Stock: 6598.TW, Signal: -100
Stock: 6605.TW, Signal: -100
Stock: 6655.TW, Signal: 100
Stock: 6689.TW, Signal: 100
Stock: 6715.TW, Signal: 100
Stock: 6789.TW, Signal: 100
Stock: 6796.TW, Signal: 100
Stock: 6933.TW, Signal: -100
Stock: 8150.TW, Signal: -100
Stock: 8341.TW, Signal: 100
Stock: 8404.TW, Signal: 100
Stock: 8454.TW, Signal: -100
Stock: 8463.TW, Signal: 100
Stock: 9802.TW, Signal: -100
Stock: 9907.TW, Signal: -100
Stock: 9921.TW, Signal: -100
Stock: 9927.TW, Signal: 100
Stock: 9930.TW, Signal: -100
Stock: 9939.TW, Signal: -100
Stock: 9943.TW, Signal: 100


Pattern: CDLSHORTLINE, Explanation: 短線，輕微的方向性移動。
Stock: 1108.TW, Signal: -100
Stock: 1225.TW, Signal: 100
Stock: 1233.TW, Signal: -100
Stock: 1234.TW, Signal: -100
Stock: 1236.TW, Signal: 100
Stock: 1305.TW, Signal: -100
Stock: 1313.TW, Signal: -100
Stock: 1323.TW, Signal: 100
Stock: 1342.TW, Signal: -100
Stock: 1409.TW, Signal: -100
Stock: 1413.TW, Signal: 100
Stock: 1416.TW, Signal: -100
Stock: 1435.TW, Signal: 100
Stock: 1438.TW, Signal: 100
Stock: 1440.TW, Signal: 100
Stock: 1445.TW, Signal: -100
Stock: 1447.TW, Signal: 100
Stock: 1453.TW, Signal: -100
Stock: 1456.TW, Signal: -100
Stock: 1471.TW, Signal: -100
Stock: 1524.TW, Signal: -100
Stock: 1526.TW, Signal: -100
Stock: 1531.TW, Signal: 100
Stock: 1539.TW, Signal: -100
Stock: 1540.TW, Signal: -100
Stock: 1568.TW, Signal: 100
Stock: 1583.TW, Signal: -100
Stock: 1589.TW, Signal: 100
Stock: 1597.TW, Signal: 100
Stock: 1713.TW, Signal: -100
Stock: 1733.TW, Signal: -100
Stock: 1734.TW, Signal: -100
Stock: 1735.TW, Signal: -100
Stock: 1760.TW, Signal: 100
Stock: 1762.TW, Signal: -100
Stock: 1783.TW, Signal: -100
Stock: 1786.TW, Signal: 100
Stock: 1795.TW, Signal: -100
Stock: 1904.TW, Signal: -100
Stock: 1906.TW, Signal: 100
Stock: 2012.TW, Signal: -100
Stock: 2015.TW, Signal: -100
Stock: 2032.TW, Signal: 100
Stock: 2033.TW, Signal: -100
Stock: 2038.TW, Signal: -100
Stock: 2062.TW, Signal: 100
Stock: 2069.TW, Signal: -100
Stock: 2104.TW, Signal: -100
Stock: 2107.TW, Signal: -100
Stock: 2109.TW, Signal: 100
Stock: 2114.TW, Signal: -100
Stock: 2115.TW, Signal: -100
Stock: 2211.TW, Signal: -100
Stock: 2331.TW, Signal: 100
Stock: 2338.TW, Signal: 100
Stock: 2340.TW, Signal: 100
Stock: 2355.TW, Signal: -100
Stock: 2359.TW, Signal: 100
Stock: 2373.TW, Signal: -100
Stock: 2374.TW, Signal: -100
Stock: 2376.TW, Signal: -100
Stock: 2383.TW, Signal: -100
Stock: 2390.TW, Signal: 100
Stock: 2401.TW, Signal: -100
Stock: 2405.TW, Signal: -100
Stock: 2431.TW, Signal: -100
Stock: 2436.TW, Signal: 100
Stock: 2440.TW, Signal: 100
Stock: 2460.TW, Signal: -100
Stock: 2462.TW, Signal: 100
Stock: 2471.TW, Signal: 100
Stock: 2480.TW, Signal: 100
Stock: 2481.TW, Signal: 100
Stock: 2489.TW, Signal: 100
Stock: 2514.TW, Signal: -100
Stock: 2528.TW, Signal: -100
Stock: 2540.TW, Signal: -100
Stock: 2543.TW, Signal: -100
Stock: 2601.TW, Signal: -100
Stock: 2610.TW, Signal: 100
Stock: 2618.TW, Signal: 100
Stock: 2707.TW, Signal: -100
Stock: 2712.TW, Signal: 100
Stock: 2727.TW, Signal: -100
Stock: 2748.TW, Signal: -100
Stock: 2753.TW, Signal: -100
Stock: 2816.TW, Signal: -100
Stock: 2832.TW, Signal: 100
Stock: 2838.TW, Signal: -100
Stock: 2887.TW, Signal: 100
Stock: 2889.TW, Signal: 100
Stock: 2901.TW, Signal: -100
Stock: 2905.TW, Signal: 100
Stock: 2912.TW, Signal: 100
Stock: 2923.TW, Signal: -100
Stock: 2929.TW, Signal: 100
Stock: 3002.TW, Signal: 100
Stock: 3018.TW, Signal: -100
Stock: 3021.TW, Signal: -100
Stock: 3025.TW, Signal: 100
Stock: 3032.TW, Signal: -100
Stock: 3034.TW, Signal: -100
Stock: 3044.TW, Signal: -100
Stock: 3052.TW, Signal: -100
Stock: 3054.TW, Signal: 100
Stock: 3138.TW, Signal: -100
Stock: 3164.TW, Signal: -100
Stock: 3231.TW, Signal: 100
Stock: 3257.TW, Signal: -100
Stock: 3266.TW, Signal: 100
Stock: 3338.TW, Signal: -100
Stock: 3432.TW, Signal: -100
Stock: 3447.TW, Signal: -100
Stock: 3504.TW, Signal: 100
Stock: 3528.TW, Signal: -100
Stock: 3530.TW, Signal: -100
Stock: 3605.TW, Signal: -100
Stock: 3617.TW, Signal: -100
Stock: 3652.TW, Signal: -100
Stock: 3702.TW, Signal: -100
Stock: 3711.TW, Signal: 100
Stock: 4106.TW, Signal: -100
Stock: 4414.TW, Signal: 100
Stock: 4440.TW, Signal: 100
Stock: 4536.TW, Signal: -100
Stock: 4545.TW, Signal: -100
Stock: 4564.TW, Signal: -100
Stock: 4566.TW, Signal: 100
Stock: 4737.TW, Signal: -100
Stock: 4807.TW, Signal: -100
Stock: 4906.TW, Signal: -100
Stock: 4916.TW, Signal: -100
Stock: 4927.TW, Signal: 100
Stock: 4977.TW, Signal: 100
Stock: 5215.TW, Signal: -100
Stock: 5234.TW, Signal: -100
Stock: 5243.TW, Signal: 100
Stock: 5258.TW, Signal: 100
Stock: 5269.TW, Signal: -100
Stock: 5306.TW, Signal: -100
Stock: 5471.TW, Signal: -100
Stock: 5907.TW, Signal: -100
Stock: 6120.TW, Signal: 100
Stock: 6142.TW, Signal: 100
Stock: 6153.TW, Signal: -100
Stock: 6176.TW, Signal: -100
Stock: 6183.TW, Signal: -100
Stock: 6192.TW, Signal: -100
Stock: 6201.TW, Signal: -100
Stock: 6205.TW, Signal: -100
Stock: 6226.TW, Signal: 100
Stock: 6230.TW, Signal: -100
Stock: 6235.TW, Signal: -100
Stock: 6412.TW, Signal: -100
Stock: 6415.TW, Signal: 100
Stock: 6446.TW, Signal: -100
Stock: 6472.TW, Signal: -100
Stock: 6526.TW, Signal: 100
Stock: 6573.TW, Signal: 100
Stock: 6606.TW, Signal: 100
Stock: 6695.TW, Signal: -100
Stock: 6706.TW, Signal: 100
Stock: 6782.TW, Signal: -100
Stock: 6792.TW, Signal: -100
Stock: 6830.TW, Signal: -100
Stock: 6835.TW, Signal: -100
Stock: 6861.TW, Signal: 100
Stock: 6906.TW, Signal: 100
Stock: 6937.TW, Signal: -100
Stock: 8011.TW, Signal: -100
Stock: 8046.TW, Signal: -100
Stock: 8072.TW, Signal: 100
Stock: 8103.TW, Signal: 100
Stock: 8215.TW, Signal: 100
Stock: 8222.TW, Signal: -100
Stock: 8442.TW, Signal: -100
Stock: 9912.TW, Signal: 100
Stock: 9924.TW, Signal: -100
Stock: 9929.TW, Signal: -100
Stock: 9931.TW, Signal: -100
Stock: 9941.TW, Signal: -100
Stock: 9942.TW, Signal: -100


Pattern: CDLHIGHWAVE, Explanation: No explanation available
Stock: 1109.TW, Signal: 100
Stock: 1309.TW, Signal: 100
Stock: 1410.TW, Signal: -100
Stock: 1516.TW, Signal: 100
Stock: 1537.TW, Signal: 100
Stock: 1725.TW, Signal: 100
Stock: 1907.TW, Signal: 100
Stock: 2243.TW, Signal: 100
Stock: 2348.TW, Signal: 100
Stock: 2354.TW, Signal: -100
Stock: 2364.TW, Signal: 100
Stock: 2723.TW, Signal: 100
Stock: 2820.TW, Signal: 100
Stock: 3501.TW, Signal: 100
Stock: 3583.TW, Signal: 100
Stock: 3694.TW, Signal: -100
Stock: 3701.TW, Signal: 100
Stock: 5283.TW, Signal: 100
Stock: 6431.TW, Signal: -100
Stock: 6776.TW, Signal: 100
Stock: 6790.TW, Signal: -100
Stock: 9955.TW, Signal: 100


Pattern: CDLLONGLINE, Explanation: 長線 - 表示該時間段內買賣雙方活動較為激烈，並且以較大的價格變動結束。長的白色蠟燭表示買方壓力，長的黑色蠟燭表示賣方壓力。
Stock: 1201.TW, Signal: -100
Stock: 1210.TW, Signal: -100
Stock: 1213.TW, Signal: 100
Stock: 1216.TW, Signal: -100
Stock: 1231.TW, Signal: -100
Stock: 1321.TW, Signal: -100
Stock: 1442.TW, Signal: 100
Stock: 1451.TW, Signal: 100
Stock: 1454.TW, Signal: -100
Stock: 1465.TW, Signal: -100
Stock: 1522.TW, Signal: -100
Stock: 1525.TW, Signal: 100
Stock: 1533.TW, Signal: 100
Stock: 1614.TW, Signal: -100
Stock: 1616.TW, Signal: 100
Stock: 1730.TW, Signal: -100
Stock: 2006.TW, Signal: -100
Stock: 2013.TW, Signal: -100
Stock: 2023.TW, Signal: 100
Stock: 2034.TW, Signal: 100
Stock: 2103.TW, Signal: -100
Stock: 2108.TW, Signal: 100
Stock: 2228.TW, Signal: -100
Stock: 2233.TW, Signal: -100
Stock: 2301.TW, Signal: -100
Stock: 2345.TW, Signal: 100
Stock: 2368.TW, Signal: 100
Stock: 2404.TW, Signal: -100
Stock: 2428.TW, Signal: 100
Stock: 2433.TW, Signal: -100
Stock: 2434.TW, Signal: -100
Stock: 2442.TW, Signal: 100
Stock: 2444.TW, Signal: 100
Stock: 2465.TW, Signal: -100
Stock: 2468.TW, Signal: 100
Stock: 2474.TW, Signal: 100
Stock: 2491.TW, Signal: 100
Stock: 2493.TW, Signal: -100
Stock: 2536.TW, Signal: 100
Stock: 2603.TW, Signal: -100
Stock: 2608.TW, Signal: -100
Stock: 2609.TW, Signal: -100
Stock: 2645.TW, Signal: 100
Stock: 2705.TW, Signal: 100
Stock: 2834.TW, Signal: -100
Stock: 2851.TW, Signal: 100
Stock: 2890.TW, Signal: 100
Stock: 2897.TW, Signal: -100
Stock: 2910.TW, Signal: -100
Stock: 3010.TW, Signal: -100
Stock: 3011.TW, Signal: 100
Stock: 3023.TW, Signal: 100
Stock: 3028.TW, Signal: -100
Stock: 3031.TW, Signal: 100
Stock: 3380.TW, Signal: 100
Stock: 3450.TW, Signal: -100
Stock: 3533.TW, Signal: 100
Stock: 3665.TW, Signal: 100
Stock: 3703.TW, Signal: -100
Stock: 3704.TW, Signal: -100
Stock: 4108.TW, Signal: 100
Stock: 4426.TW, Signal: 100
Stock: 4551.TW, Signal: 100
Stock: 4571.TW, Signal: -100
Stock: 4583.TW, Signal: -100
Stock: 4720.TW, Signal: 100
Stock: 4766.TW, Signal: 100
Stock: 4912.TW, Signal: -100
Stock: 4919.TW, Signal: -100
Stock: 5222.TW, Signal: 100
Stock: 5515.TW, Signal: 100
Stock: 5871.TW, Signal: 100
Stock: 6108.TW, Signal: 100
Stock: 6165.TW, Signal: -100
Stock: 6191.TW, Signal: -100
Stock: 6239.TW, Signal: -100
Stock: 6271.TW, Signal: 100
Stock: 6278.TW, Signal: -100
Stock: 6282.TW, Signal: -100
Stock: 6288.TW, Signal: -100
Stock: 6505.TW, Signal: -100
Stock: 6625.TW, Signal: 100
Stock: 6698.TW, Signal: 100
Stock: 6768.TW, Signal: -100
Stock: 8028.TW, Signal: -100
Stock: 8488.TW, Signal: -100
Stock: 9911.TW, Signal: -100
Stock: 9918.TW, Signal: -100
Stock: 9934.TW, Signal: -100
Stock: 9935.TW, Signal: 100


Pattern: CDLMARUBOZU, Explanation: 光頭光腳/實體大 - 表示開盤價即為最低價，收盤價即為最高價（對於看漲光頭光腳），或開盤價即為最高價，收盤價即為最低價（對於看跌光頭光腳），顯示了非常強的一方力量。
Stock: 1215.TW, Signal: 100
Stock: 1256.TW, Signal: -100
Stock: 1470.TW, Signal: 100
Stock: 1722.TW, Signal: -100
Stock: 2024.TW, Signal: -100
Stock: 2455.TW, Signal: 100
Stock: 2498.TW, Signal: 100
Stock: 2509.TW, Signal: -100
Stock: 2704.TW, Signal: 100
Stock: 3013.TW, Signal: 100
Stock: 3040.TW, Signal: -100
Stock: 4576.TW, Signal: 100
Stock: 5525.TW, Signal: 100
Stock: 6139.TW, Signal: 100
Stock: 6189.TW, Signal: 100
Stock: 8021.TW, Signal: 100
Stock: 8110.TW, Signal: 100
Stock: 8131.TW, Signal: 100
Stock: 8499.TW, Signal: -100
Stock: 8996.TW, Signal: 100
Stock: 9944.TW, Signal: -100


Pattern: CDLLONGLEGGEDDOJI, Explanation: 長腿Doji，市場不確定性的象徵。
Stock: 1218.TW, Signal: 100
Stock: 1337.TW, Signal: 100
Stock: 1339.TW, Signal: 100
Stock: 1434.TW, Signal: 100
Stock: 1532.TW, Signal: 100
Stock: 1731.TW, Signal: 100
Stock: 2025.TW, Signal: 100
Stock: 2247.TW, Signal: 100
Stock: 2367.TW, Signal: 100
Stock: 2477.TW, Signal: 100
Stock: 2484.TW, Signal: 100
Stock: 2497.TW, Signal: 100
Stock: 2731.TW, Signal: 100
Stock: 2845.TW, Signal: 100
Stock: 2913.TW, Signal: 100
Stock: 3019.TW, Signal: 100
Stock: 3229.TW, Signal: 100
Stock: 3454.TW, Signal: 100
Stock: 3535.TW, Signal: 100
Stock: 3545.TW, Signal: 100
Stock: 4557.TW, Signal: 100
Stock: 6449.TW, Signal: 100
Stock: 6525.TW, Signal: 100
Stock: 6670.TW, Signal: 100
Stock: 6674.TW, Signal: 100
Stock: 8411.TW, Signal: 100
Stock: 9919.TW, Signal: 100
Stock: 9928.TW, Signal: 100


Pattern: CDLCLOSINGMARUBOZU, Explanation: 收盤光頭光腳 - 類似於光頭光腳，但專指收盤價極為強勢或弱勢的情況，是一方力量的明顯展現。
Stock: 1219.TW, Signal: -100
Stock: 1439.TW, Signal: 100
Stock: 1459.TW, Signal: -100
Stock: 1468.TW, Signal: 100
Stock: 1472.TW, Signal: -100
Stock: 1474.TW, Signal: 100
Stock: 1538.TW, Signal: -100
Stock: 1604.TW, Signal: 100
Stock: 1609.TW, Signal: 100
Stock: 1702.TW, Signal: -100
Stock: 1712.TW, Signal: -100
Stock: 1817.TW, Signal: -100
Stock: 2010.TW, Signal: -100
Stock: 2027.TW, Signal: -100
Stock: 2105.TW, Signal: -100
Stock: 2327.TW, Signal: 100
Stock: 2362.TW, Signal: -100
Stock: 2412.TW, Signal: 100
Stock: 2415.TW, Signal: 100
Stock: 2438.TW, Signal: -100
Stock: 2441.TW, Signal: -100
Stock: 2478.TW, Signal: 100
Stock: 2492.TW, Signal: 100
Stock: 2527.TW, Signal: -100
Stock: 2545.TW, Signal: 100
Stock: 2637.TW, Signal: 100
Stock: 2809.TW, Signal: 100
Stock: 2886.TW, Signal: 100
Stock: 3043.TW, Signal: -100
Stock: 3058.TW, Signal: 100
Stock: 3130.TW, Signal: -100
Stock: 3356.TW, Signal: -100
Stock: 3591.TW, Signal: 100
Stock: 3705.TW, Signal: -100
Stock: 3708.TW, Signal: 100
Stock: 4960.TW, Signal: -100
Stock: 4967.TW, Signal: -100
Stock: 5288.TW, Signal: 100
Stock: 5531.TW, Signal: -100
Stock: 6128.TW, Signal: -100
Stock: 6477.TW, Signal: -100
Stock: 6504.TW, Signal: -100
Stock: 6641.TW, Signal: -100
Stock: 6668.TW, Signal: -100
Stock: 6691.TW, Signal: -100
Stock: 6719.TW, Signal: 100
Stock: 6753.TW, Signal: -100
Stock: 6781.TW, Signal: 100
Stock: 8033.TW, Signal: 100
Stock: 8163.TW, Signal: 100
Stock: 8261.TW, Signal: 100
Stock: 8422.TW, Signal: -100
Stock: 8438.TW, Signal: -100
Stock: 8443.TW, Signal: -100
Stock: 8473.TW, Signal: 100
Stock: 9904.TW, Signal: 100
Stock: 9905.TW, Signal: -100
Stock: 9906.TW, Signal: 100
Stock: 9917.TW, Signal: 100
Stock: 9933.TW, Signal: 100


Pattern: CDL3INSIDE, Explanation: 三內部上升和下降，是一種反轉模式，取決於其出現的位置和之後的行動。
Stock: 1227.TW, Signal: 100
Stock: 1618.TW, Signal: 100
Stock: 2314.TW, Signal: 100
Stock: 2630.TW, Signal: 100
Stock: 3027.TW, Signal: 100
Stock: 4572.TW, Signal: 100
Stock: 4968.TW, Signal: 100
Stock: 6806.TW, Signal: 100


Pattern: CDLSHOOTINGSTAR, Explanation: 流星，看跌反轉模式。
Stock: 1229.TW, Signal: -100
Stock: 1457.TW, Signal: -100
Stock: 1905.TW, Signal: -100
Stock: 2022.TW, Signal: -100
Stock: 2349.TW, Signal: -100
Stock: 2357.TW, Signal: -100
Stock: 2443.TW, Signal: -100
Stock: 2449.TW, Signal: -100
Stock: 2457.TW, Signal: -100
Stock: 2539.TW, Signal: -100
Stock: 3016.TW, Signal: -100
Stock: 3022.TW, Signal: -100
Stock: 4943.TW, Signal: -100
Stock: 5706.TW, Signal: -100
Stock: 6443.TW, Signal: -100
Stock: 6743.TW, Signal: -100
Stock: 6756.TW, Signal: -100
Stock: 8105.TW, Signal: -100
Stock: 9926.TW, Signal: -100


Pattern: CDLTAKURI, Explanation: 探水竿，看漲反轉信號。
Stock: 1232.TW, Signal: 100
Stock: 1418.TW, Signal: 100
Stock: 1582.TW, Signal: 100
Stock: 2496.TW, Signal: 100
Stock: 3413.TW, Signal: 100
Stock: 3645.TW, Signal: 100
Stock: 3679.TW, Signal: 100
Stock: 4739.TW, Signal: 100
Stock: 6155.TW, Signal: 100
Stock: 6225.TW, Signal: 100
Stock: 6405.TW, Signal: 100


Pattern: CDLINVERTEDHAMMER, Explanation: 倒錘子，看漲反轉信號。
Stock: 1235.TW, Signal: 100
Stock: 1325.TW, Signal: 100
Stock: 1423.TW, Signal: 100
Stock: 1473.TW, Signal: 100
Stock: 6592.TW, Signal: 100


Pattern: CDLDARKCLOUDCOVER, Explanation: 烏雲蓋頂，一個看跌反轉模式。
Stock: 1304.TW, Signal: -100
Stock: 2029.TW, Signal: -100


Pattern: CDLHANGINGMAN, Explanation: 吊人，看跌反轉模式。
Stock: 1307.TW, Signal: -100
Stock: 1312.TW, Signal: -100
Stock: 1314.TW, Signal: -100
Stock: 1414.TW, Signal: -100
Stock: 1437.TW, Signal: -100
Stock: 1752.TW, Signal: -100
Stock: 2020.TW, Signal: -100
Stock: 2330.TW, Signal: -100
Stock: 2363.TW, Signal: -100
Stock: 2365.TW, Signal: -100
Stock: 2377.TW, Signal: -100
Stock: 2546.TW, Signal: -100
Stock: 2547.TW, Signal: -100
Stock: 2892.TW, Signal: -100
Stock: 2939.TW, Signal: -100
Stock: 3017.TW, Signal: -100
Stock: 3026.TW, Signal: -100
Stock: 3045.TW, Signal: -100
Stock: 3376.TW, Signal: -100
Stock: 3406.TW, Signal: -100
Stock: 3550.TW, Signal: -100
Stock: 3712.TW, Signal: -100
Stock: 4746.TW, Signal: -100
Stock: 4958.TW, Signal: -100
Stock: 5285.TW, Signal: -100
Stock: 6152.TW, Signal: -100
Stock: 6456.TW, Signal: -100
Stock: 8070.TW, Signal: -100


Pattern: CDLHARAMI, Explanation: 懷孕，看漲或看跌的反轉模式。
Stock: 1308.TW, Signal: 100
Stock: 1436.TW, Signal: -100
Stock: 1463.TW, Signal: -100
Stock: 1475.TW, Signal: -100
Stock: 1530.TW, Signal: 100
Stock: 2375.TW, Signal: 100
Stock: 2379.TW, Signal: 100
Stock: 2486.TW, Signal: -100
Stock: 2597.TW, Signal: -100
Stock: 2722.TW, Signal: 100
Stock: 3094.TW, Signal: 100
Stock: 3686.TW, Signal: -100
Stock: 4763.TW, Signal: -100
Stock: 4935.TW, Signal: -100
Stock: 5007.TW, Signal: -100
Stock: 5521.TW, Signal: -100
